page_index	page_id	part	chapter	template	composition	status	priority	issue	suggested_manual_action	tables
51	all-page-0051	PARTE II — O CINTURÃO DAS FRESTAS	O Cinturão das Frestas	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
52	all-page-0052	PARTE II — O CINTURÃO DAS FRESTAS	O Cinturão das Frestas	narrative	GEOGRAPHY_FLOW	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	
53	all-page-0053	PARTE II — O CINTURÃO DAS FRESTAS	O Mapa em Duas Camadas	full_art	MAP_SPREAD	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
54	all-page-0054	PARTE II — O CINTURÃO DAS FRESTAS	O Mapa em Duas Camadas	full_art	MAP_SPREAD	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
55	all-page-0055	PARTE II — O CINTURÃO DAS FRESTAS	O Mapa em Duas Camadas	narrative	GEOGRAPHY_FLOW	NEEDS_TABLE_REVIEW	P3	TABLE_IN_NARRATIVE_TEMPLATE_REVIEW_SEMANTIC_ROLE	Confirmar manualmente se a tabela compacta deve permanecer integrada ao fluxo ou migrar para composição especializada.	1 tabelas
56	all-page-0056	PARTE II — O CINTURÃO DAS FRESTAS	O Mapa em Duas Camadas	narrative	GEOGRAPHY_FLOW	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	
57	all-page-0057	PARTE II — O CINTURÃO DAS FRESTAS	A Fenda de Kethrell	chapter_opening	GEOGRAPHY_OPENING	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
58	all-page-0058	PARTE II — O CINTURÃO DAS FRESTAS	A Fenda de Kethrell	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
59	all-page-0059	PARTE II — O CINTURÃO DAS FRESTAS	Quatro Fatores de Instabilidade	narrative	GEOGRAPHY_FLOW	NEEDS_TABLE_REVIEW	P3	TABLE_IN_NARRATIVE_TEMPLATE_REVIEW_SEMANTIC_ROLE	Confirmar manualmente se a tabela compacta deve permanecer integrada ao fluxo ou migrar para composição especializada.	1 tabelas
60	all-page-0060	PARTE II — O CINTURÃO DAS FRESTAS	Estados da Fenda	narrative	GEOGRAPHY_FLOW	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	
61	all-page-0061	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	chapter_opening	GEOGRAPHY_OPENING	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
62	all-page-0062	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
63	all-page-0063	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
64	all-page-0064	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
65	all-page-0065	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
66	all-page-0066	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
67	all-page-0067	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz: Planalto de Silmari	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
68	all-page-0068	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão: Vale de Thur-Daer	chapter_opening	GEOGRAPHY_OPENING	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
69	all-page-0069	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão: Vale de Thur-Daer	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
70	all-page-0070	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão: Vale de Thur-Daer	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
71	all-page-0071	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão: Vale de Thur-Daer	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
72	all-page-0072	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão: Vale de Thur-Daer	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
73	all-page-0073	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz — Cidades e enclaves	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
74	all-page-0074	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz — Cidades e enclaves	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
75	all-page-0075	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz — Cidades e enclaves	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
76	all-page-0076	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz — Cidades e enclaves	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
77	all-page-0077	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Luz — Cidades e enclaves	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
78	all-page-0078	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão — Cidades e enclaves	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
79	all-page-0079	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão — Cidades e enclaves	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
80	all-page-0080	PARTE II — O CINTURÃO DAS FRESTAS	Geografia da Escuridão — Cidades e enclaves	narrative	GEOGRAPHY_FLOW	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	
81	all-page-0081	PARTE II — O CINTURÃO DAS FRESTAS	Distribuição dos Povos	chapter_opening	IMAGE_TOP	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	1 tabelas
82	all-page-0082	PARTE II — O CINTURÃO DAS FRESTAS	Distribuição dos Povos	narrative	GEOGRAPHY_FLOW	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	1 tabelas
83	all-page-0083	PARTE II — O CINTURÃO DAS FRESTAS	Tensões Regionais: Aelvari, Kragor, Draken e Nomos	chapter_opening	IMAGE_TOP	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
84	all-page-0084	PARTE II — O CINTURÃO DAS FRESTAS	Tensões Regionais: Aelvari, Kragor, Draken e Nomos	narrative	TEXT_FEATURE	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	
85	all-page-0085	PARTE II — O CINTURÃO DAS FRESTAS	Tensões Regionais: Livres, Dóreos, Teriantes, Nimari e Vitrálios	narrative	GEOGRAPHY_FLOW	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	
86	all-page-0086	PARTE II — O CINTURÃO DAS FRESTAS	Rotas Oficiais	map_page	MAP_PAGE	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
87	all-page-0087	PARTE II — O CINTURÃO DAS FRESTAS	Rotas Oficiais	narrative	GEOGRAPHY_FLOW	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	
88	all-page-0088	PARTE II — O CINTURÃO DAS FRESTAS	Rotas Clandestinas e Comércio	map_page	MAP_PAGE	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
89	all-page-0089	PARTE II — O CINTURÃO DAS FRESTAS	Rotas Clandestinas e Comércio	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
90	all-page-0090	PARTE II — O CINTURÃO DAS FRESTAS	As Outras Forças do Cinturão	narrative	GEOGRAPHY_FLOW	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	
91	all-page-0091	PARTE II — O CINTURÃO DAS FRESTAS	O Estado Político Atual	chapter_opening	GEOGRAPHY_OPENING	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
92	all-page-0092	PARTE II — O CINTURÃO DAS FRESTAS	O Estado Político Atual	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
93	all-page-0093	PARTE II — O CINTURÃO DAS FRESTAS	O que está prestes a acontecer	narrative	GEOGRAPHY_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
94	all-page-0094	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	part_opening	PART_HERO	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
95	all-page-0095	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	PREÂMBULO — O NOME E O CAMINHO	narrative	CULTURE_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
96	all-page-0096	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	
97	all-page-0097	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	NEEDS_TABLE_REVIEW	P3	TABLE_IN_NARRATIVE_TEMPLATE_REVIEW_SEMANTIC_ROLE	Confirmar manualmente se a tabela compacta deve permanecer integrada ao fluxo ou migrar para composição especializada.	1 tabelas
98	all-page-0098	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	chapter_opening	POVO_OPENING	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
99	all-page-0099	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
100	all-page-0100	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
101	all-page-0101	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	chapter_opening	POVO_OPENING	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
102	all-page-0102	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
103	all-page-0103	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
104	all-page-0104	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	
105	all-page-0105	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	chapter_opening	POVO_OPENING	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
106	all-page-0106	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
107	all-page-0107	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
108	all-page-0108	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	chapter_opening	POVO_OPENING	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
109	all-page-0109	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
110	all-page-0110	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
111	all-page-0111	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
112	all-page-0112	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	chapter_opening	POVO_OPENING	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
113	all-page-0113	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
114	all-page-0114	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MANUAL_REVIEW	P2	LOW_FILL_OR_SHORT_COMPOSITION	Verificar ritmo, espaço negativo e eventual arte contextual; não comprimir texto automaticamente.	
115	all-page-0115	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	chapter_opening	POVO_OPENING	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
116	all-page-0116	PARTE III — POVOS, OFÍCIOS E COMUNIDADES VIVAS	MOVIMENTO A — POVOS	narrative	CULTURE_FLOW	MVP_GOOD	-		Nenhuma ação estrutural; refinar somente se a revisão humana encontrar ganho editorial claro.	
