behavior	current_file	current_function	category	generic_or_project	runtime_or_policy	source_of_truth	duplicated	contract_drift	risk	recommended_action	priority	evidence
"Edição Free Canvas (PageCanvas, layers, multi-select)"	src/editor/components/PageCanvas.tsx	PageCanvas	EDITOR	GENERIC_ENGINE	runtime	book.pages	no	no	low	none	P3	"src/editor/components/PageCanvas.tsx:1714"
"Toolbar + ContextToolbar"	src/editor/components/Toolbar.tsx	Toolbar	EDITOR	GENERIC_ENGINE	runtime	store	no	no	low	none	P3	"src/editor/components/Toolbar.tsx:1449"
"LightTable (modo grade)"	src/editor/components/LightTable.tsx	LightTable	EDITOR	GENERIC_ENGINE	runtime	book.pages	no	no	low	none	P3	"src/editor/components/LightTable.tsx:330"
"Edição inline de texto (overlay)"	src/editor/components/InlineTextEditorOverlay.tsx	*	EDITOR	GENERIC_ENGINE	runtime	block.content	no	no	low	none	P3	"src/editor/components/InlineTextEditorOverlay.tsx:89"
"Edição de tabela (overlay)"	src/editor/components/TableEditorOverlay.tsx	*	EDITOR	GENERIC_ENGINE	runtime	block.rows / block.columns	no	no	low	none	P3	"src/editor/components/TableEditorOverlay.tsx:858"
"Editor de Sheet (overlay)"	src/editor/components/SheetDesignerOverlay.tsx	*	EDITOR	GENERIC_ENGINE	runtime	block.sheet	no	no	low	none	P3	"src/editor/components/SheetDesignerOverlay.tsx:452"
"Recipe dialog"	src/editor/components/RecipeDialog.tsx	*	EDITOR	GENERIC_ENGINE	runtime	book.recipes	no	no (mas dead code)	low	Documentar como opcional	P3	"src/book/authoring.ts"
"StructurePanel"	src/editor/panels/StructurePanel.tsx	*	EDITOR	GENERIC_ENGINE	runtime	book.nodes + book.pages	no	no	low	none	P3	"src/editor/panels/StructurePanel.tsx:194"
"AssetBrowser + AssetEditor"	src/editor/panels/AssetBrowser.tsx / AssetEditor.tsx	*	EDITOR	GENERIC_ENGINE	runtime	book.assets + catalog	no	no	low	none	P3	"src/editor/panels/AssetBrowser.tsx:507"
"PropertiesPanel"	src/editor/panels/PropertiesPanel.tsx	*	EDITOR	GENERIC_ENGINE	runtime	selected block / page	no	no	low	none	P3	"src/editor/panels/PropertiesPanel.tsx:1209"
"GuidePanel + ruler overlay"	src/editor/panels/GuidePanel.tsx	*	EDITOR	GENERIC_ENGINE	runtime	page.settings + tokens	no	no	low	none	P3	"src/editor/panels/GuidePanel.tsx:308"
"LayersPanel"	src/editor/panels/LayersPanel.tsx	*	EDITOR	GENERIC_ENGINE	runtime	selected page blocks	no	no	low	none	P3	"src/editor/panels/LayersPanel.tsx:92"
"PreflightPanel"	src/editor/panels/PreflightPanel.tsx	*	EDITOR	GENERIC_ENGINE	runtime	buildReport + measureIssues	no	no	low	none	P3	"src/editor/panels/PreflightPanel.tsx:238"
"Editor state store (Zustand-like)"	src/editor/state/store.tsx	*	EDITOR	GENERIC_ENGINE	runtime	book pages/blocks/selection	no	no	low	none	P3	"src/editor/state/store.tsx:1626"
"Editor layout shell"	src/editor/EditorLayout.tsx	*	EDITOR	GENERIC_ENGINE	runtime	store	no	no	low	none	P3	"src/editor/EditorLayout.tsx:314"
"Persistence: localStorage + IndexedDB"	src/lib/persistence/local.ts	loadLocalBook / saveLocalBook / normalizeBook / migrateLegacyAssets / bookSnapshot	PERSISTENCE	GENERIC_ENGINE	runtime	localStorage + IndexedDB	no	no	low	none	P3	"src/lib/persistence/local.ts:79-228"
"Persistence: cloud (D1 + R2 + GitHub source)"	src/lib/persistence/cloud.ts	*	PERSISTENCE	GENERIC_ENGINE	runtime	env.DB / env.R2_ASSETS	no	no	low	none	P3	"src/lib/persistence/cloud.ts:105"
"Persistence: source (manuscrito)"	src/lib/persistence/source.ts	*	PERSISTENCE	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"src/lib/persistence/source.ts:44"
"Persistence: production plan (legacy format)"	src/lib/persistence/production-plan.ts	*	PERSISTENCE	GENERIC_ENGINE	runtime	kallistis-production-plan.json (legacy)	no	no (dead code)	low	Documentar como dead code	P3	"src/lib/persistence/production-plan.ts:236"
"Persistence: work file (File System Access API)"	src/lib/persistence/work-file.ts	*	PERSISTENCE	GENERIC_ENGINE	runtime	FileSystemFileHandle	no	no	low	none	P3	"src/lib/persistence/work-file.ts:185"
"Persistence: JSON round-trip"	src/lib/persistence/json.ts	*	PERSISTENCE	GENERIC_ENGINE	runtime	JSON	no	no	low	none	P3	"src/lib/persistence/json.ts:123"
"Server API: owner auth (HMAC-SHA256 session)"	src/server-api.ts	login / isAuthorized / createOwnerCookie / hasOwnerSession	PERSISTENCE	GENERIC_ENGINE	runtime	env.SESSION_SECRET + env.OWNER_PASSWORD	no	no	low	none	P3	"src/server-api.ts:60-177"
"Server API: projects (D1 + R2 snapshots)"	src/server-api.ts	listProjects / getProject / saveSnapshot	PERSISTENCE	GENERIC_ENGINE	runtime	env.DB + env.R2_ASSETS	no	no	low	none	P3	"src/server-api.ts:247-346"
"Server API: GitHub source tree"	src/server-api.ts	githubTree / importGitHubAsset / serveImportedAsset	PERSISTENCE	PROJECT_OVERRIDE	policy	hardcoded REPOSITORY="Tonyus-dev/kallistis_producao" + REF="main"	no	no	medium	Documentar como project override	P2	"src/server-api.ts:46-47"
"Server API: export-from-snapshot (Node-only)"	src/server-api.ts	exportFromSnapshot	EXPORT	GENERIC_ENGINE	runtime	node:fs + spawn scripts/export-pdf.mjs	no	no (deliberadamente Node-only)	low	none	P3	"src/server-api.ts:487-571"
"Preflight: measure issues no DOM real"	src/lib/preflight/measure.ts	measureIssues / waitForLayout	QA	GENERIC_ENGINE	runtime	getBoundingClientRect + getComputedStyle	no	no	low	none	P3	"src/lib/preflight/measure.ts:112-360"
"Preflight: static rules (offline)"	src/lib/preflight/static-rules.ts	*	QA	GENERIC_ENGINE	runtime	book JSON	no	no	low	none	P3	"src/lib/preflight/static-rules.ts:565"
"Preflight: types + report build"	src/lib/preflight/types.ts / report.ts	*	QA	GENERIC_ENGINE	runtime	PREFLIGHT_RULES	no	no	low	none	P3	"src/lib/preflight/types.ts:331 / report.ts:138"
"Preflight: download report"	src/lib/preflight/download.ts	*	QA	GENERIC_ENGINE	runtime	report	no	no	low	none	P3	"src/lib/preflight/download.ts:20"
"Rhythm: metrics"	src/lib/rhythm/metrics.ts	*	QA	GENERIC_ENGINE	runtime	book pages	no	no	low	none	P3	"src/lib/rhythm/metrics.ts:195"
"Rhythm: warnings"	src/lib/rhythm/warnings.ts	*	QA	GENERIC_ENGINE	runtime	metrics	no	no	low	none	P3	"src/lib/rhythm/warnings.ts:310"
"Assets: catalog"	src/lib/assets/catalog.ts	*	ASSET_PIPELINE	GENERIC_ENGINE	runtime	editorial-asset-manifest	no	no	low	none	P3	"src/lib/assets/catalog.ts:215"
"Assets: registry (URLs, resolução, ppi)"	src/lib/assets/registry.ts	pixelsForPrint / registerBookAssets / effectiveImagePpi	ASSET_PIPELINE	GENERIC_ENGINE	runtime	book.assets + DOM	no	no	low	none	P3	"src/lib/assets/registry.ts:144"
"Assets: local store (IndexedDB)"	src/lib/assets/local-store.ts	*	ASSET_PIPELINE	GENERIC_ENGINE	runtime	IndexedDB	no	no	low	none	P3	"src/lib/assets/local-store.ts:57"
"Assets: cloud upload"	src/lib/assets/cloud-upload.ts	*	ASSET_PIPELINE	GENERIC_ENGINE	runtime	API	no	no	low	none	P3	"src/lib/assets/cloud-upload.ts:33"
"Assets: upload (UI)"	src/lib/assets/upload.ts	*	ASSET_PIPELINE	GENERIC_ENGINE	runtime	file input	no	no	low	none	P3	"src/lib/assets/upload.ts:88"
"Assets: edit"	src/lib/assets/edit.ts	*	ASSET_PIPELINE	GENERIC_ENGINE	runtime	book.assets	no	no	low	none	P3	"src/lib/assets/edit.ts:254"
"Assets: editorial manifest"	src/lib/assets/editorial-manifest.ts	*	ASSET_PIPELINE	GENERIC_ENGINE	runtime	editorial-asset-manifest.json	no	no	low	none	P3	"src/lib/assets/editorial-manifest.ts:41"
"Route /print (única rota usada por export + materializer)"	src/routes/print.tsx	PrintView	EXPORT	GENERIC_ENGINE	runtime	injected book + localStorage + ?src=	no	no	low	none	P3	"src/routes/print.tsx:37-205"
"Route /" (editor)	src/routes/index.tsx	IndexRoute	EDITOR	GENERIC_ENGINE	runtime	canonicalBook	no	no	low	none	P3	"src/routes/index.tsx:36"
"Route /login"	src/routes/login.tsx	LoginRoute	EDITOR	GENERIC_ENGINE	runtime	auth API	no	no	low	none	P3	"src/routes/login.tsx:70"
"Componentes UI (shadcn) — 60+ arquivos"	src/components/ui/*	*	EDITOR	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"src/components/ui/*"
"Test unit: table model"	book_maker/scripts/test-table-model.ts	*	TEST	GENERIC_ENGINE	runtime	no fixtures	no	no	low	none	P3	"book_maker/scripts/test-table-model.ts:76"
"Test unit: authoring"	book_maker/scripts/test-authoring.ts	*	TEST	GENERIC_ENGINE	runtime	no fixtures	no	no	low	none	P3	"book_maker/scripts/test-authoring.ts:155"
"Test unit: sheet"	book_maker/scripts/test-sheet.ts	*	TEST	GENERIC_ENGINE	runtime	no fixtures	no	no	low	none	P3	"book_maker/scripts/test-sheet.ts:34"
"Test unit: image production"	book_maker/scripts/test-image-production.ts	*	TEST	GENERIC_ENGINE	runtime	inline fixtures	no	no	low	none	P3	"book_maker/scripts/test-image-production.ts:175"
"Test e2e: free-canvas-mvp"	book_maker/tests/e2e/free-canvas-mvp.spec.ts	*	TEST	GENERIC_ENGINE	runtime	canonical book via dev server	no	no	low	none	P3	"book_maker/tests/e2e/free-canvas-mvp.spec.ts"
"Test e2e: production-smoke"	book_maker/tests/e2e/production-smoke.spec.ts	*	TEST	GENERIC_ENGINE	runtime	canonical book + dev server	no	no	low	none	P3	"book_maker/tests/e2e/production-smoke.spec.ts:14"
"Test materializer: lê report pré-gerado"	book_maker/scripts/test-materializer.mjs	*	TEST	PROJECT_OVERRIDE	policy	projects/kallistis-materializado-historia-v5.report.json	no	yes (pode passar com report hand-crafted)	medium	Dropar ou condicionar a `materialize:historia`	15.2	P1	"book_maker/scripts/test-materializer.mjs:5-9"
"Test p001-p030-structure: hardcoded /home/tonyus-dev/Downloads"	book_maker/scripts/test-p001-p030-structure.mjs	*	TEST	PROJECT_OVERRIDE	runtime	HANDOFF_MD + HANDOFF_JSON (off-repo)	no	yes (quebra em clone limpo)	medium	Dropar	15.3	P2	"book_maker/scripts/test-p001-p030-structure.mjs:21-22"
"Materializer: ensureServer (spawn vite dev porta 4185)"	scripts/materialize-manuscript.mjs	ensureServer / waitForServer / launchChromium	PAGINATION	GENERIC_ENGINE	runtime	env.KALLISTIS_MATERIALIZER_PORT	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3158-3204"
"Materializer: SHA check do manuscrito"	scripts/materialize-manuscript.mjs	main (Fase B)	PAGINATION	GENERIC_ENGINE	policy	EXPECTED_MANUSCRIPT_SHA256 (hardcoded)	no	no	low	Documentar; mover para env se ficar variável	P2	"scripts/materialize-manuscript.mjs:53-54"
"Materializer: SHA check do cover"	scripts/materialize-manuscript.mjs	main (Fase B)	PAGINATION	PROJECT_OVERRIDE	policy	APPROVED_COVER_SHA256 (hardcoded)	no	no	medium	Documentar	17.7	P1	"scripts/materialize-manuscript.mjs:55-57"
"Materializer: catalog §28 string check"	scripts/materialize-manuscript.mjs	main (Fase B)	PAGINATION	PROJECT_OVERRIDE	policy	hardcoded string "## 28. Cobertura editorial capítulo a capítulo — REV1"	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:4412"
"Materializer: parseMarkdown"	scripts/materialize-manuscript.mjs	parseMarkdown / splitTableRow / isTableSeparator / isListLine / headingMatch	PAGINATION	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:1856-2037"
"Materializer: annotateHeadingPaths"	scripts/materialize-manuscript.mjs	annotateHeadingPaths	PAGINATION	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:2093"
"Materializer: filterBlocksForProfile"	scripts/materialize-manuscript.mjs	filterBlocksForProfile / BOOKMAKER_CONTRACT_HEADING	PAGINATION	PROJECT_OVERRIDE	policy	hardcoded "BOOKMAKER CONTRACT — KALLISTIS FICHA DO JOGADOR"	no	no	medium	Documentar como project override	P2	"scripts/materialize-manuscript.mjs:2066-2081"
"Materializer: enrichAcervoAssets (v1.5-acervo)"	scripts/materialize-manuscript.mjs	enrichAcervoAssets / V2_CURATED_PRIMARY_ASSETS / EXTRA_ACERVO_RULES / EXTRA_ACERVO_OVERRIDES / EXTRA_FULL_ART_PLATE_RULES / walkRasterFiles / EXTRA_PRIMARY_CONTEXT_HEADINGS	PAGINATION	PROJECT_OVERRIDE	policy	drive-image-inventory.json + drive-image-disposition.csv + public/assets/v1.5-acervo/	no	no	medium	Documentar como project override	P2	"scripts/materialize-manuscript.mjs:1371-1805"
"Materializer: planEditorialAssets"	scripts/materialize-manuscript.mjs	planEditorialAssets (delegado)	PAGINATION	GENERIC_ENGINE	runtime	editorial-planner.mjs	no	no	low	none	P3	"scripts/editorial-planner.mjs:140-213"
"Materializer: registerPlannedAssets"	scripts/materialize-manuscript.mjs	registerPlannedAssets	PAGINATION	GENERIC_ENGINE	runtime	plan	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:2104"
"Materializer: bindSemanticAssets (SEMANTIC_ASSET_RULES)"	scripts/materialize-manuscript.mjs	bindSemanticAssets / SEMANTIC_ASSET_RULES (90+ literais)	PAGINATION	PROJECT_OVERRIDE	policy	hardcoded Map com Povos/Ofícios/Bestiário/Partes/Geografia/Pedr'alma/Velarim	no	no	medium	"Extrair para JSON carregável (sem mexer ainda)"	18	P2	"scripts/materialize-manuscript.mjs:71-757"
"Materializer: selectPilotBlocks"	scripts/materialize-manuscript.mjs	selectPilotBlocks	PAGINATION	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:2037"
"Materializer: newPage"	scripts/materialize-manuscript.mjs	newPage / approvedCoverPage / tocPage / tocSourceEntries / tocPages	PAGINATION	GENERIC_ENGINE	runtime	hardcoded	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:2665-2813"
"Materializer: compositionForSource"	scripts/materialize-manuscript.mjs	compositionForSource / defaultColumnsForComposition / editorialFamilyForSource	PAGINATION	GENERIC_ENGINE + PROJECT_OVERRIDE	policy	asset.family + source.level + listas literais	no	no	medium	"Extrair listas literais para JSON"	18	P2	"scripts/materialize-manuscript.mjs:2566-2663"
"Materializer: sourceToBlock"	scripts/materialize-manuscript.mjs	sourceToBlock / tableBlockFromSource / blockId / baseMaterialization	PAGINATION	GENERIC_ENGINE	runtime	source.type	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:2247-2386"
"Materializer: generatedImage / generatedSupportImage / generatedFullArtPlate"	scripts/materialize-manuscript.mjs	generatedImage / generatedSupportImage / generatedFullArtPlate	PAGINATION	GENERIC_ENGINE + PROJECT_OVERRIDE	policy	asset + hardcoded sizes ('large'/'medium'/'small'/'xl')	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:2386-2566"
"Materializer: assetForSource / supportAssetsForSource / fullArtPlateAssetsForSource / sourceIsInsideAssetWindow"	scripts/materialize-manuscript.mjs	assetForSource / supportAssetsForSource / fullArtPlateAssetsForSource	PAGINATION	GENERIC_ENGINE + PROJECT_OVERRIDE	policy	SEMANTIC_ASSET_RULES + HISTORY_ASSETS	yes (3 funções)	no	low	Consolidar em 1 helper	P3	"scripts/materialize-manuscript.mjs:2168-2247"
"Materializer: applyCompactReferencePage (PARTE V/VI sem imagem → rules_2col)"	scripts/materialize-manuscript.mjs	applyCompactReferencePage / compactReferenceSection	PAGINATION	PROJECT_OVERRIDE	policy	regex "^PARTE (V|VI)\b"	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:2628-2657"
"Materializer: trySplitText (binary search)"	scripts/materialize-manuscript.mjs	trySplitText / splitSentences / fragmentText	PAGINATION	GENERIC_ENGINE	runtime	block.content	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3343-3376"
"Materializer: trySplitTable (binary search + continuation)"	scripts/materialize-manuscript.mjs	trySplitTable / splitTable	PAGINATION	GENERIC_ENGINE	runtime	block.rows	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3378-3407"
"Materializer: renderAndMeasure (DOM real via Chromium)"	scripts/materialize-manuscript.mjs	renderAndMeasure / candidateBook / materialize	PAGINATION	GENERIC_ENGINE	runtime	chromium + DOM	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3204-3856"
"Materializer: cadenceReached / visualDebt / lastImagePage / textRun"	scripts/materialize-manuscript.mjs	materialize (loop)	PAGINATION	GENERIC_ENGINE + EDITORIAL_POLICY	runtime	IMAGE_CADENCE + SOFT/HARD_MAX_TEXT_RUN	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:63-68"
"Materializer: keep rules (H1 / front matter / dedication / composition boundary)"	scripts/materialize-manuscript.mjs	materialize (loop)	PAGINATION	GENERIC_ENGINE + EDITORIAL_POLICY	policy	listas literais + lookahead measurement	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3476-3556"
"Materializer: MAP_SPREAD trigger"	scripts/materialize-manuscript.mjs	materialize (loop, branch Mapa em Duas Camadas)	PAGINATION	PROJECT_OVERRIDE	policy	hardcoded "O Mapa em Duas Camadas"	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3560-3632"
"Materializer: encounter entries pair"	scripts/materialize-manuscript.mjs	materialize (loop, mayPairEncounterEntries)	PAGINATION	PROJECT_OVERRIDE	policy	hardcoded "SETENTA E DOIS ENCONTROS ENTRE HERANÇA E ESCOLHA"	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:69 + 3702-3712"
"Materializer: chronology continuation"	scripts/materialize-manuscript.mjs	materialize (loop, isChronologyContinuation)	PAGINATION	PROJECT_OVERRIDE	policy	hardcoded "Cronologia consolidada por Marcos"	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3434-3450"
"Materializer: trailing-heading repair pass"	scripts/materialize-manuscript.mjs	materialize (pass 2)	PAGINATION	GENERIC_ENGINE	runtime	page.blocks[-1].type	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3785-3805"
"Materializer: merge vizinhas compatíveis"	scripts/materialize-manuscript.mjs	materialize (pass 3)	PAGINATION	GENERIC_ENGINE	runtime	page.part + page.template + page.settings.columns	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3811-3840"
"Materializer: drop empty pages + renumber"	scripts/materialize-manuscript.mjs	materialize (pass 4)	PAGINATION	GENERIC_ENGINE	runtime	page.blocks.length	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3845-3854"
"Materializer: applyPreexistingEditorialCorrections"	scripts/materialize-manuscript.mjs	applyPreexistingEditorialCorrections / correctionImageBlock	PAGINATION	PROJECT_OVERRIDE	policy	hardcoded blocks para p.1, p.2, p.6, p.10, p.50, p.100, p.150, p.200, p.250, p.300, p.350, p.394	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:2886-3026"
"Materializer: repairOrphanHeadings"	scripts/materialize-manuscript.mjs	repairOrphanHeadings	PAGINATION	GENERIC_ENGINE	runtime	page.blocks[-1].type	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3026"
"Materializer: repairMeasuredTailOverflow"	scripts/materialize-manuscript.mjs	repairMeasuredTailOverflow	PAGINATION	GENERIC_ENGINE	runtime	measurements	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3040-3098"
"Materializer: validateMaterialization"	scripts/materialize-manuscript.mjs	validateMaterialization / collectMaterializedSourceOccurrences / validationTextForSource / validationTextForBlock / wordDelta / wordMultiset / normalizedValidationText / semanticImagePlacements	PAGINATION	GENERIC_ENGINE	runtime	book + sourceBlocks + measurements	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:3858-4117"
"Materializer: stats (image interval, text run, fill ratio)"	scripts/materialize-manuscript.mjs	stats	PAGINATION	GENERIC_ENGINE	runtime	book + measurements	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:4119-4379"
"Materializer: assemble Book + productionPlan"	scripts/materialize-manuscript.mjs	main (Fase P)	PAGINATION	GENERIC_ENGINE + PROJECT_OVERRIDE	policy	hardcoded meta.title/author/imprint/edition	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:4554-4600"
"Materializer: writeFile + exit code por verdict"	scripts/materialize-manuscript.mjs	main (final)	PAGINATION	GENERIC_ENGINE	runtime	args.output	no	no	low	none	P3	"scripts/materialize-manuscript.mjs:4943-4967"
